model,category,ratings,color,display,processor,ram,android_version,camera,storage,storage_category,battery,battery_category,price_gbp,price_category,imgURL
SAMSUNG Galaxy A21s,Phones,4.2,Silver,other_types,Snapdragon(SDM450-F01),6,10,48,128,High Storage,5000,High Battery,161.9,Mid-Range,https://rukminim2.flixcart.com/image/312/312/kg6vfrk0/mobile/w/6/g/samsung-galaxy-a21s-sm-a217fzslins-original-imafwhjezxc7afzx.jpeg?q=70
SAMSUNG Galaxy M11,Phones,4.4,Violet,LCD,not mentioned,4,9,13,64,Medium Storage,5000,High Battery,123.8,Budget,https://rukminim2.flixcart.com/image/312/312/kavefm80/mobile/h/c/y/samsung-galaxy-m11-sm-m115fzleins-original-imafscgysncykdxv.jpeg?q=70
SAMSUNG Galaxy A10s,Phones,4.6,Blue,other_types,Snapdragon(SDM439),2,12,13,32,Low Storage,4000,Medium Battery,90.38,Budget,https://rukminim2.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/q/m/g/galaxy-a10s-32-gb-c-sm-a107fzbdins-samsung-2-original-imafjycggdwt5akh.jpeg?q=70
SAMSUNG Galaxy Note 8,Phones,4.2,Orchid Grey,other_types,not mentioned,6,10,12,64,Medium Storage,3300,Low Battery,80.61,Budget,https://rukminim2.flixcart.com/image/312/312/js98x3k0/mobile/g/h/a/samsung-galaxy-note-8-na-original-imafdvaqjabwvguk.jpeg?q=70
SAMSUNG Galaxy M01,Phones,4.3,Red,LCD,not mentioned,3,10,13,32,Low Storage,4000,Medium Battery,85.7,Budget,https://rukminim2.flixcart.com/image/312/312/kavefm80/mobile/b/g/z/samsung-galaxy-m01-sm-m015gzrdins-original-imafscggbdypyqqc.jpeg?q=70
SAMSUNG Galaxy A70s,Phones,4.2,Prism Crush White,other_types,Snapdragon(SDM450-F01),6,10,64,128,High Storage,4500,Medium Battery,295.24,Mid-Range,https://rukminim2.flixcart.com/image/312/312/kgjqefk0/mobile/j/s/5/samsung-galaxy-a70s-sm-a707fzwwins-original-imafwrdhsyfzh6yg.jpeg?q=70
SAMSUNG Galaxy M32 Prime Edition,Phones,4.2,Black,other_types,not mentioned,4,8,64,64,Medium Storage,6000,High Battery,116.05,Budget,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/2/e/-original-imagjhqzefepgn4t.jpeg?q=70
SAMSUNG Galaxy M11,Phones,4.3,Metallic Blue,LCD,not mentioned,3,11,13,32,Low Storage,5000,High Battery,104.75,Budget,https://rukminim2.flixcart.com/image/312/312/kavefm80/mobile/w/u/z/samsung-galaxy-m11-sm-m115fmbeins-original-imafscgycugcewty.jpeg?q=70
SAMSUNG Galaxy F41,Phones,4.3,Fusion Blue,other_types,not mentioned,6,8,64,64,Medium Storage,6000,High Battery,152.37,Mid-Range,https://rukminim2.flixcart.com/image/312/312/kfzq8i80/mobile/y/j/f/samsung-galaxy-f41-sm-f415fzbdins-original-imafwbnpdafmeuj6.jpeg?q=70
SAMSUNG Galaxy A52,Phones,4.3,Awesome Black,HD+ AMOLED,Snapdragon720GProcessor,8,12,64,128,High Storage,4500,Medium Battery,304.75,Flagship,https://rukminim2.flixcart.com/image/312/312/kmf7ki80/mobile/r/z/1/galaxy-a52-sm-a525fzkhins-samsung-original-imagfb4vgf9eez3j.jpeg?q=70
SAMSUNG Galaxy J6,Phones,4.4,Black,other_types,not mentioned,3,7,13,32,Low Storage,3000,Low Battery,109.52,Budget,https://rukminim2.flixcart.com/image/312/312/jjelq4w0/mobile/e/3/a/samsung-galaxy-j6-sm-j600gzkgins-original-imaf6zpe7vrnygsn.jpeg?q=70
SAMSUNG Galaxy M32 Prime Edition,Phones,4.3,Black,other_types,not mentioned,6,10,64,128,High Storage,6000,High Battery,144.76,Budget,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/2/e/-original-imagjhqzefepgn4t.jpeg?q=70
SAMSUNG Galaxy J2 2018,Phones,4.5,Gold,other_types,Snapdragon425P,2,11,8,16,Low Storage,2600,Low Battery,78.1,Budget,https://rukminim2.flixcart.com/image/312/312/jgpfs7k0/mobile/a/q/y/samsung-j2-2018-sm-j250g-original-imaf4uwk3udf3uj4.jpeg?q=70
SAMSUNG Galaxy A12,Phones,4.1,Blue,LCD,Heilo356765,6,10,48,128,High Storage,5000,High Battery,171.42,Mid-Range,https://rukminim2.flixcart.com/image/312/312/krz97rk0/mobile/g/n/h/galaxy-a12-mtk-g35-sm-a125fzbjins-samsung-original-imag5n53wm8rg4tw.jpeg?q=70
SAMSUNG M32 5G,Phones,4.2,Sky blue,other_types,Dimensity720,6,10,48,128,High Storage,5000,High Battery,154.29,Mid-Range,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/z/x/-original-imag6jmvqyef5nyf.jpeg?q=70
SAMSUNG Galaxy M01,Phones,4.6,Blue,LCD,Snapdragon(SDM439),3,8,13,32,Low Storage,4000,Medium Battery,85.7,Budget,https://rukminim2.flixcart.com/image/312/312/kavefm80/mobile/d/f/a/samsung-galaxy-m01-sm-m015gzbdins-original-imafscggmdqgt62q.jpeg?q=70
SAMSUNG Galaxy F41,Phones,4.4,Fusion Blue,other_types,not mentioned,6,8,64,128,High Storage,6000,High Battery,138.09,Budget,https://rukminim2.flixcart.com/image/312/312/kfzq8i80/mobile/y/j/f/samsung-galaxy-f41-sm-f415fzbdins-original-imafwbnpdafmeuj6.jpeg?q=70
SAMSUNG Galaxy A7,Phones,4.2,Gold,AMOLED,not mentioned,4,13,24,64,Medium Storage,3300,Low Battery,212.38,Mid-Range,https://rukminim2.flixcart.com/image/312/312/jmgmmq80/mobile/6/p/7/samsung-galaxy-a7-sm-a750fzddins-original-imaf9d35yrmzjvn5.jpeg?q=70
SAMSUNG Galaxy J2 Core,Phones,4.4,Black,LCD,not mentioned,1,11,8,16,Low Storage,2600,Low Battery,66.66,Budget,https://rukminim2.flixcart.com/image/312/312/kqidx8w0/mobile/s/g/t/galaxy-j2-core-sm-j260gzkdins-samsung-original-imaf9f33s65wbgdn.jpeg?q=70
SAMSUNG Galaxy S23 Ultra 5G,Phones,4.1,Phantom Black,HD+ AMOLED,Gen8,12,10,200,1,Low Storage,5000,High Battery,227.88,Mid-Range,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/l/o/-original-imagmg6gzjf7gggt.jpeg?q=70
SAMSUNG Galaxy F42 5G,Phones,4.3,Matte Black,other_types,Dimensity700,6,10,64,128,High Storage,5000,High Battery,199.99,Mid-Range,https://rukminim2.flixcart.com/image/312/312/ku4ezrk0/mobile/v/5/e/galaxy-f42-5g-sm-e426bzahins-samsung-original-imag7anfwxsgumgz.jpeg?q=70
SAMSUNG Galaxy F41,Phones,4.3,Fusion Green,other_types,not mentioned,6,11,64,64,Medium Storage,6000,High Battery,152.37,Mid-Range,https://rukminim2.flixcart.com/image/312/312/kfzq8i80/mobile/w/z/z/samsung-galaxy-f41-sm-f415fzgdins-original-imafwbnhbywwg5gh.jpeg?q=70
